T1_Tank_1	T1_Tank_2	T1_Tank_3	T1_Tank_4	T1_Tank_5	T1_Tank_6	T1_Tank_7	T1_Tank_8	T1_Tank_9	T1_Tank_10	T2_Tank_1	T2_Tank_2	T2_Tank_3	T2_Tank_4	T2_Tank_5	T2_Tank_6	T2_Tank_7	T2_Tank_8	T2_Tank_9	T2_Tank_10	T3_Tank_1	T3_Tank_2	T3_Tank_3	T3_Tank_4	T3_Tank_5	T3_Tank_6	T3_Tank_7	T3_Tank_8	T3_Tank_9	T3_Tank_10	T3_EM1	T3_Lambda
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1642	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1643	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1644	0	2	0	0	0	1	0	0	1	2	0	0	0	0	0	3	0	4	0	4	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1645	0	2	0	0	0	2	0	0	0	6	2	1	0	0	0	2	0	4	0	4	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1647	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1648	5	0	12	0	2	276	0	0	0	9	20	0	5	0	0	475	0	29	0	30	0	2	0	0	0	2	0	1	0	4	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1649	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1651	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1652	2	0	1	0	0	27	0	0	0	0	7	0	0	0	1	14	0	2	0	2	0	0	8	0	2	0	1	0	0	3	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1653	1	0	0	1	0	20	0	0	0	0	2	0	0	0	1	16	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1655	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1656	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1658	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	3	0	3	0	3	1	0	0	0	0	0	0	1	0	1	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1661	3	9	0	0	0	2	0	1	0	6	0	3	0	0	0	2	0	28	0	29	0	0	0	0	1	0	0	0	0	9	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1662	1	6	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	6	0	6	0	0	0	1	0	0	1	0	0	1	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1663	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1664	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1665	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1666	0	3	0	1	0	11	0	0	1	0	1	0	0	0	0	16	0	1	0	1	0	0	0	7	2	0	0	1	0	8	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1667	0	0	0	0	0	28	0	0	0	1	0	0	1	0	0	22	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1670	0	1	0	0	0	12	0	0	0	0	4	0	0	0	0	12	0	5	0	5	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1671	8	1	0	0	0	50	0	1	0	0	20	0	0	0	0	38	0	1	0	2	0	0	1	0	1	3	0	1	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1672	4	0	85	2	2	1583	1	1	1	69	47	0	23	0	6	2342	4	178	0	180	1	0	1	0	0	14	0	12	0	19	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1673	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Deinococcales_Deinococcaceae___OTU_1674	12	2	4	0	0	2	4	0	1	4	69	0	0	0	0	21	0	30	2	30	24	1	5	4	1	0	0	0	3	15	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Thermales_Thermaceae___OTU_1675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria_Deinococcus-Thermus_Deinococci_Thermales_Thermaceae___OTU_1676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
Bacteria_Fibrobacteres_Chitinivibrionia_Chitinivibrionales_Chitinivibrionaceae___OTU_1677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae___OTU_1678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_<NA>_<NA>_<NA>___OTU_1679	28	3	13	18	8	15	1	8	3	4	80	34	4	38	21	86	102	29	50	13	56	21	2	33	13	14	8	52	39	42	112	1
Bacteria_Firmicutes_Bacilli_<NA>_<NA>___OTU_1680	9	4	131	13	7	80	5	6	2	4	20	18	5	12	19	122	119	53	14	21	22	11	7	53	11	11	15	158	16	42	713	8
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1681	68	45	902	104	67	771	47	121	5	27	149	104	54	72	182	1132	1192	711	147	296	121	61	18	194	77	63	100	797	86	367	67	2
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1682	1	1	132	0	0	113	0	1	0	0	0	0	6	0	1	1	62	0	5	0	0	1	2	34	1	7	0	106	2	2	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1683	0	0	15	0	0	10	0	0	0	0	2	1	0	0	0	0	11	1	1	1	0	0	0	5	0	1	0	15	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1684	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1685	0	1	201	0	1	73	0	0	2	1	0	0	9	0	1	3	118	0	5	0	0	0	5	7	0	11	0	176	0	1	1	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1686	0	1	7	0	0	6	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1687	1	2	117	0	0	307	1	0	0	1	0	0	2	0	1	8	43	0	13	0	2	0	0	100	0	10	0	115	0	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1688	7	0	18	0	0	18	0	0	0	0	70	0	0	0	0	3	10	0	1	0	0	0	1	6	0	1	0	30	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1689	1	0	2	0	0	3	0	0	0	0	2	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1690	0	2	11	0	0	16	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	1	2	0	0	0	13	0	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1691	0	0	29	0	0	9	0	1	0	0	3	0	1	0	0	0	11	1	0	1	0	0	2	5	0	1	0	28	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1692	3	0	5	0	0	1	0	0	0	0	10	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1693	0	2	23	0	0	72	1	0	0	0	2	0	0	0	0	0	13	0	3	0	0	0	0	16	0	0	1	24	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1694	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	0	2	0	4	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1695	0	45	1032	3	13	3142	3	0	8	1	1	1	53	0	0	107	563	4	244	4	0	5	22	1232	1	39	0	975	4	13	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1696	0	0	23	0	0	6	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0	1	0	0	0	15	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1697	2	20	9231	10	9	1369	11	16	7	8	1	0	402	1	6	75	4865	9	65	9	3	8	185	168	0	248	8	7536	15	43	1	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1698	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_<NA>___OTU_1699	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1700	4	7	2	7	22	99	8	16	0	3	10	3	1	6	35	382	142	133	3	42	5	3	1	2	25	20	30	30	1	56	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1701	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	3	0	0	0	0	5	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1702	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1703	1	0	0	1	1	1	0	4	0	0	1	5	0	0	4	5	4	7	1	4	1	6	0	0	0	1	4	0	1	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1704	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1705	1	1	0	3	1	1	0	0	0	0	3	0	0	1	1	4	2	2	0	2	6	1	0	8	0	0	1	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1706	0	0	0	2	2	0	1	0	0	0	2	8	0	1	3	3	0	8	0	4	4	5	0	1	1	0	0	4	1	2	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1708	0	0	0	0	1	0	0	0	0	0	0	2	0	4	1	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1709	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1710	0	0	0	2	1	1	1	3	0	0	0	1	1	0	0	11	3	0	0	0	0	2	0	2	0	2	1	0	0	2	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1711	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1712	0	0	0	2	0	0	1	0	0	0	1	2	0	3	2	3	2	3	1	0	1	0	0	1	0	0	0	0	1	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1713	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1714	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	1	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1715	14	0	0	14	0	1	0	0	3	0	40	0	0	21	1	3	0	3	16	0	21	0	0	14	0	0	0	1	27	4	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1716	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	6	2	5	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1717	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1718	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1722	1	0	0	0	0	0	0	0	0	0	5	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1724	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	10	5	3	1	2	1	0	0	0	0	0	0	0	2	5	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1725	4	1	3	16	2	5	11	9	0	8	7	2	1	4	0	16	43	76	3	37	4	2	0	3	1	2	7	4	2	37	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1726	122	178	73	94	563	2288	285	471	6	107	388	104	17	103	1245	9643	4137	3557	117	1117	201	79	9	42	412	446	745	981	76	1371	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1727	1	0	0	2	0	5	2	0	0	0	0	0	0	0	1	9	4	5	1	0	1	0	0	0	1	0	4	0	0	2	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1728	0	0	0	2	2	9	1	0	0	0	0	0	0	0	3	29	4	14	1	6	1	0	0	1	5	2	4	1	0	14	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1729	2	0	3	3	2	3	2	0	1	0	6	0	0	2	7	11	4	5	2	6	6	0	0	0	7	0	0	0	1	5	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae___OTU_1730	3	1	0	3	0	4	2	4	0	2	4	0	0	2	3	23	21	39	1	29	3	0	0	5	0	3	4	6	4	21	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1731	52	13	157	73	38	117	12	47	11	9	178	20	13	61	69	450	304	212	120	81	109	15	9	97	43	17	24	210	94	150	61	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1733	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1736	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1737	1	0	0	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	2	0	0	0	0	4	0	0	0	0	1	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1740	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1741	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	12	0	0	0	2	0	0	0	0	0	5	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1742	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1744	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1747	14	1	0	12	20	19	8	16	0	0	28	0	0	11	16	187	57	60	174	18	37	4	1	29	14	7	5	18	26	18	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1748	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	2	0	0	0	3	1	2	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1749	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	3	0	3	8	1	1	0	0	0	0	1	1	0	3	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1750	20	8	5	8	50	57	5	50	3	5	40	9	7	3	102	687	173	156	11	63	20	13	5	10	53	26	37	47	19	81	3	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1755	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1762	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1763	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	2	0	1	0	0	0	0	1	0	0	0	1	0	1	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1764	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	5	2	3	3	2	1	0	0	2	1	1	0	1	0	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1765	1	0	0	5	6	9	4	1	1	0	7	0	0	3	7	49	38	14	4	3	5	1	0	6	8	1	4	7	6	2	2	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1766	15	0	1	5	0	3	0	0	4	1	38	0	0	13	0	11	13	8	26	2	27	0	0	11	2	1	1	0	18	4	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1767	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1768	0	0	1	0	0	1	2	1	0	0	0	1	0	0	1	7	3	2	0	0	0	0	0	0	1	0	1	1	1	1	0	0
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae___OTU_1769	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	3	3	1	1	0	0	0	1	1	1	1	2	1	0	0
