T1_Tank_1	T1_Tank_2	T1_Tank_3	T1_Tank_4	T1_Tank_5	T1_Tank_6	T1_Tank_7	T1_Tank_8	T1_Tank_9	T1_Tank_10	T2_Tank_1	T2_Tank_2	T2_Tank_3	T2_Tank_4	T2_Tank_5	T2_Tank_6	T2_Tank_7	T2_Tank_8	T2_Tank_9	T2_Tank_10	T3_Tank_1	T3_Tank_2	T3_Tank_3	T3_Tank_4	T3_Tank_5	T3_Tank_6	T3_Tank_7	T3_Tank_8	T3_Tank_9	T3_Tank_10	T3_EM1	T3_Lambda
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_57	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_58	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_59	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Corynebacteriaceae___OTU_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Dietziaceae___OTU_61	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Dietziaceae___OTU_62	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Dietziaceae___OTU_63	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Dietziaceae___OTU_64	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Dietziaceae___OTU_65	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Dietziaceae___OTU_66	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Dietziaceae___OTU_67	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Dietziaceae___OTU_68	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	3	0	3	0	0	1	0	0	0	0	0	0	1	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Dietziaceae___OTU_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_70	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_73	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_74	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_75	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_79	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_81	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_84	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Gordoniaceae___OTU_86	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	9	3	0	1	0	0	0	3	0	1	0	0	0	0	0
